"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-686215071381124","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/30/21","11:43 AM","13.00","0","0.00","1.33","0","14.33","-1.95","0","-0.74","-1.33","0"
"O-903014987255474","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/21/21","1:54 PM","24.50","0","0.00","2.51","0","27.01","-1.23","-2.45","-1.12","-2.51","0"
"O-899314996598200","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/22/21","12:35 PM","41.50","0","0.00","3.43","0","44.93","-2.08","-4.15","-1.43","-3.43","-8.00"
"O-226814913723001","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/14/21","12:29 PM","19.00","0","0.00","1.95","0","20.95","-0.95","-1.90","-0.83","-1.95","-3.49"
"O-732714841125278","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/7/21","12:39 PM","12.00","0","0.00","1.23","0","13.23","-0.60","-1.20","-0.70","-1.23","0"
"O-035714842335050","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/7/21","11:52 AM","11.50","0","0.00","1.18","1.90","14.58","-1.73","0","-0.74","-1.18","0"
"O-247115053240471","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/28/21","4:09 PM","12.50","0","0.00","1.28","0","13.78","-1.88","0","-0.72","-1.28","0"
"O-063815064309681","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/29/21","12:16 PM","22.00","0","0.00","2.26","0","24.26","-1.10","-2.20","-1.04","-2.26","0"
"O-873514981284564","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/21/21","3:15 PM","13.50","0","0.00","1.38","0","14.88","-0.68","-1.35","-0.75","-1.38","0"
"O-852414991287335","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/22/21","11:45 AM","11.00","0","0.00","1.13","0","12.13","-0.55","-1.10","-0.67","-1.13","0"
"O-329115076666448","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/30/21","12:21 PM","23.00","0","0.00","2.36","0","25.36","-1.15","-2.30","-0.98","-2.36","-2.99"
"O-947314983147678","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/21/21","5:10 PM","23.00","0","0.00","2.36","0","25.36","-1.15","-2.30","-1.01","-2.36","-1.99"
"O-743514836950746","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/6/21","1:09 PM","13.50","0","0.00","1.38","0","14.88","-0.68","-1.35","-0.75","-1.38","0"
