"TIMESTAMP_UTC_TIME","TIMESTAMP_UTC_DATE","TIMESTAMP_LOCAL_TIME","TIMESTAMP_LOCAL_DATE","PAYOUT_TIME","PAYOUT_DATE","STORE_ID","BUSINESS_ID","STORE_NAME","MERCHANT_STORE_ID","TRANSACTION_TYPE","TRANSACTION_ID","DOORDASH_ORDER_ID","MERCHANT_DELIVERY_ID","EXTERNAL_ID","DESCRIPTION","FINAL_ORDER_STATUS","CURRENCY","SUBTOTAL","TAX_SUBTOTAL","COMMISSION","COMMISSION_TAX_AMOUNT","MARKETING_FEES","STAFF_TIP","CREDIT","DEBIT","DOORDASH_TRANSACTION_ID","PAYOUT_ID","DRIVE_CHARGE","TAX_REMITTED_BY_DOORDASH_TO_STATE"
"18:22:19","2021-04-21","11:22:19","2021-04-21","2021-04-29 09:02:17.765060000","2021-04-29",883572,396694,"The Berliner Döner Kebab (Westlake Ave N)","NULL","DELIVERY","4a83e5d7-bd28-475b-938f-84bf9c1f1756","=""9c1f1756""","10320885","100d8c4a-ddce-4e79-8d04-58d313494108","Order Received Time: 2021-04-21 18:08:36.529000000
Order Pickup Time: 2021-04-21 18:22:19.540232000","Delivered","USD",15.50,0.00,2.33,0.00,0.00,0.00,13.17,0.00,"2162998508",139015617,0.00,1.59
"18:37:02","2021-04-21","11:37:02","2021-04-21","2021-04-29 09:02:17.765060000","2021-04-29",883572,396694,"The Berliner Döner Kebab (Westlake Ave N)","NULL","DELIVERY","3662c751-17c1-4095-9652-4dcf3cb3fdb2","=""3cb3fdb2""","10321023","fe54f786-2543-4ef5-a3a6-2239c7658c69","Order Received Time: 2021-04-21 18:12:47.921000000
Order Pickup Time: 2021-04-21 18:37:02.274765000","Delivered","USD",22.00,0.00,3.30,0.00,0.00,0.00,18.70,0.00,"2163082349",139015617,0.00,2.26
"18:56:56","2021-04-21","11:56:56","2021-04-21","2021-04-29 09:02:17.765060000","2021-04-29",883572,396694,"The Berliner Döner Kebab (Westlake Ave N)","NULL","DELIVERY","34875715-8dc7-4a54-8e30-5a6beb39ab9c","=""eb39ab9c""","10321674","98e25ba0-a0cf-4e52-a7fa-4da9f854acc8","Order Received Time: 2021-04-21 18:30:54.503000000
Order Pickup Time: 2021-04-21 18:56:56.463766000","Delivered","USD",12.00,0.00,1.80,0.00,0.00,0.00,10.20,0.00,"2163189462",139015617,0.00,1.23
"19:52:21","2021-04-21","12:52:21","2021-04-21","2021-04-29 09:02:17.765060000","2021-04-29",883572,396694,"The Berliner Döner Kebab (Westlake Ave N)","NULL","DELIVERY","fb1bd477-21a4-4e0e-bbe4-277b6d83d47e","=""6d83d47e""","10321980","5d4ecb89-9ffc-4781-835a-97ecac21efd1","Order Received Time: 2021-04-21 18:38:46.222000000
Order Pickup Time: 2021-04-21 19:52:21.077804000","Picked Up","USD",24.50,0.00,2.94,0.00,5.89,3.97,19.64,0.00,"2163482551",139015617,0.00,2.01
"20:13:05","2021-04-21","13:13:05","2021-04-21","2021-04-29 09:02:17.765060000","2021-04-29",883572,396694,"The Berliner Döner Kebab (Westlake Ave N)","NULL","DELIVERY","adb4a7cc-429d-4f08-be16-f8a42ec621b8","=""2ec621b8""","10322738","239675b1-86eb-4498-b283-81d96a072c3b","Order Received Time: 2021-04-21 19:00:38.695000000
Order Pickup Time: 2021-04-21 20:13:05.371584000","Picked Up","USD",14.00,0.00,2.10,0.00,0.00,0.00,11.90,0.00,"2163588078",139015617,0.00,1.44
"21:00:20","2021-04-21","14:00:20","2021-04-21","2021-04-29 09:02:17.765060000","2021-04-29",883572,396694,"The Berliner Döner Kebab (Westlake Ave N)","NULL","DELIVERY","efcadf68-776d-4531-add6-53042b38d53b","=""2b38d53b""","10324295","a92d1ffb-6fb7-4a38-93db-12d426a9f479","Order Received Time: 2021-04-21 19:48:27.987000000
Order Pickup Time: 2021-04-21 21:00:20.837521000","Picked Up","USD",12.00,0.00,1.80,0.00,0.00,1.32,11.52,0.00,"2163825000",139015617,0.00,1.23
"21:17:45","2021-04-21","14:17:45","2021-04-21","2021-04-29 09:02:17.765060000","2021-04-29",883572,396694,"The Berliner Döner Kebab (Westlake Ave N)","NULL","DELIVERY","f5c50225-3e96-42b0-b8a8-6adda589ee2c","=""a589ee2c""","10325975","084e98a9-162c-4176-b165-3e8304e965c1","Order Received Time: 2021-04-21 20:43:02.448000000
Order Pickup Time: 2021-04-21 21:17:45.603463000","Picked Up","USD",14.00,0.00,2.10,0.00,0.00,0.00,11.90,0.00,"2163919268",139015617,0.00,1.44
"21:28:37","2021-04-21","14:28:37","2021-04-21","2021-04-29 09:02:17.765060000","2021-04-29",883572,396694,"The Berliner Döner Kebab (Westlake Ave N)","NULL","DELIVERY","0f9fbe7e-a723-4dde-b2fc-3f530d902b10","=""0d902b10""","10325239","168eefe6-f080-4653-8b8a-4e4a87b680eb","Order Received Time: 2021-04-21 20:19:01.022000000
Order Pickup Time: 2021-04-21 21:28:37.409215000","Picked Up","USD",13.00,0.00,1.95,0.00,0.00,0.00,11.05,0.00,"2163979464",139015617,0.00,1.33
"22:46:01","2021-04-21","15:46:01","2021-04-21","2021-04-29 09:02:17.765060000","2021-04-29",883572,396694,"The Berliner Döner Kebab (Westlake Ave N)","NULL","DELIVERY","5a935176-fafe-42f6-8572-78b6dd21dfb0","=""dd21dfb0""","10330148","a7d92354-a500-44da-8971-8bb27a7feb3c","Order Received Time: 2021-04-21 22:20:38.071000000
Order Pickup Time: 2021-04-21 22:46:01.615424000","Delivered","USD",15.50,0.00,1.86,0.00,4.09,0.00,9.55,0.00,"2164478415",139015617,0.00,1.27
"00:05:29","2021-04-22","17:05:29","2021-04-21","2021-04-29 09:02:17.765060000","2021-04-29",883572,396694,"The Berliner Döner Kebab (Westlake Ave N)","NULL","DELIVERY","b450392f-45bd-4fc8-9e01-e656cdd2b95e","=""cdd2b95e""","10335471","2967594e-2d8a-44c9-9941-34d78ce9c6f8","Order Received Time: 2021-04-21 23:52:37.473000000
Order Pickup Time: 2021-04-22 00:05:29.579067000","Delivered","USD",24.50,0.00,2.94,0.00,5.89,0.00,15.67,0.00,"2165085073",139015617,0.00,2.01
